ablation_type,value,piano_clap
layer,tf4,0.299280425172972
layer,tf5,0.2987163929108796
layer,tf6,0.303896206007347
layer,tf7,0.30128309162674266
layer,tf8,0.2966134249397721
layer,tf6+tf7,0.2968677057434396
npairs,5,0.3031489790016803
npairs,25,0.3060131747697616
npairs,50,0.2975931489963074
npairs,100,0.3011124439534525
npairs,256,0.3042639068681346
