expansion_factor,k,data_size,seed,num_latents,fvu,dead_feature_pct,mean_sparsity,clap_delta,lpaps,interpretability_score,train_time_s
2,64,100,456,128,0.316921204328537,0.0,68.0999984741211,-1.0,-1.0,-1.0,0.1237700991332531
2,64,500,42,128,0.22864510118961334,0.0,67.5,-1.0,-1.0,-1.0,0.6615685997530818
2,64,500,123,128,0.21092604100704193,0.0,65.86000061035156,-1.0,-1.0,-1.0,0.3224371736869216
2,64,500,456,128,0.22498579323291779,0.0,66.27999877929688,-1.0,-1.0,-1.0,0.2152031697332859
2,64,1000,42,128,0.21963025629520416,0.0,65.23999786376953,-1.0,-1.0,-1.0,0.13289963826537132
2,64,1000,123,128,0.21282745897769928,0.0,66.26000213623047,-1.0,-1.0,-1.0,0.1473993370309472
2,64,1000,456,128,0.22304727137088776,0.0,66.4000015258789,-1.0,-1.0,-1.0,0.1251679640263319
2,64,5000,42,128,0.20337372815608978,0.0,65.81799951171875,-1.0,-1.0,-1.0,0.1517624519765377
2,64,5000,123,128,0.1997996040582657,0.0,66.3459965209961,-1.0,-1.0,-1.0,0.13998874556273222
2,64,5000,456,128,0.21403345692157746,0.0,65.53599755859375,-1.0,-1.0,-1.0,0.15795639343559742
2,128,100,42,128,0.2956888675689697,0.0,65.5999984741211,-1.0,-1.0,-1.0,0.6606428464874625
2,128,100,123,128,0.27416178584098816,0.0,64.30000305175781,-1.0,-1.0,-1.0,0.17729992419481277
2,128,100,456,128,0.31288081407546997,0.0,68.20000457763672,-1.0,-1.0,-1.0,0.1584285832941532
2,128,500,42,128,0.2262059897184372,0.0,67.58000183105469,-1.0,-1.0,-1.0,0.6627353234216571
2,128,500,123,128,0.20960567891597748,0.0,65.65999603271484,-1.0,-1.0,-1.0,0.2249727165326476
2,128,500,456,128,0.22290433943271637,0.0,66.23999786376953,-1.0,-1.0,-1.0,0.2713837279006839
2,128,1000,42,128,0.2188027948141098,0.0,65.19999694824219,-1.0,-1.0,-1.0,0.2616709154099226
2,128,1000,123,128,0.21118810772895813,0.0,66.2699966430664,-1.0,-1.0,-1.0,0.2317031705752015
2,128,1000,456,128,0.2211485356092453,0.0,66.43999481201172,-1.0,-1.0,-1.0,0.2627525953575969
2,128,5000,42,128,0.20211190319061278,0.0,65.90599884033203,-1.0,-1.0,-1.0,0.30067714396864176
2,128,5000,123,128,0.1982424919605255,0.0,66.46599639892578,-1.0,-1.0,-1.0,0.21897910814732313
2,128,5000,456,128,0.21283856046199798,0.0,65.64999841308594,-1.0,-1.0,-1.0,0.21225977782160044
4,8,100,42,256,0.6374534368515015,0.72265625,129.0,-1.0,-1.0,-1.0,0.3744840268045664
4,8,100,123,256,0.6185613870620728,0.75,128.8000030517578,-1.0,-1.0,-1.0,0.1900433599948883
4,8,100,456,256,0.6436717510223389,0.7578125,132.6999969482422,-1.0,-1.0,-1.0,0.2185118729248643
4,8,500,42,256,0.539093554019928,0.23828125,130.27999877929688,-1.0,-1.0,-1.0,0.5758251640945673
4,8,500,123,256,0.5462242364883423,0.2421875,130.13999938964844,-1.0,-1.0,-1.0,0.20688234455883503
4,8,500,456,256,0.5425708293914795,0.25390625,131.25999450683594,-1.0,-1.0,-1.0,0.19966975320130587
4,8,1000,42,256,0.532755970954895,0.09765625,130.89999389648438,-1.0,-1.0,-1.0,0.20411582477390766
4,8,1000,123,256,0.5222479104995728,0.06640625,131.27999877929688,-1.0,-1.0,-1.0,0.23168700747191906
4,8,1000,456,256,0.5337221026420593,0.1015625,131.989990234375,-1.0,-1.0,-1.0,0.1915701748803258
4,8,5000,42,256,0.5116271171569824,0.0,131.05599487304687,-1.0,-1.0,-1.0,0.18426832277327776
4,8,5000,123,256,0.5132017903327942,0.00390625,130.80399670410156,-1.0,-1.0,-1.0,0.21515198051929474
4,8,5000,456,256,0.5129660696983337,0.0,130.93599426269532,-1.0,-1.0,-1.0,0.19903659913688898
4,16,100,42,256,0.5065016746520996,0.5625,131.0,-1.0,-1.0,-1.0,0.5053863916546106
4,16,100,123,256,0.48207536339759827,0.54296875,127.5999984741211,-1.0,-1.0,-1.0,0.262776936404407
4,16,100,456,256,0.5238703489303589,0.5546875,130.6999969482422,-1.0,-1.0,-1.0,0.22300497349351645
4,16,500,42,256,0.4128909707069397,0.09375,127.5999984741211,-1.0,-1.0,-1.0,0.4276244379580021
4,16,500,123,256,0.3996378183364868,0.05859375,128.63999938964844,-1.0,-1.0,-1.0,0.19560262002050877
4,16,500,456,256,0.4026462137699127,0.05859375,129.4199981689453,-1.0,-1.0,-1.0,0.2029610313475132
4,16,1000,42,256,0.39096570014953613,0.0078125,128.39999389648438,-1.0,-1.0,-1.0,0.193660250864923
4,16,1000,123,256,0.3855073153972626,0.0078125,128.3699951171875,-1.0,-1.0,-1.0,0.18624701723456383
4,16,1000,456,256,0.40234968066215515,0.01171875,129.61000061035156,-1.0,-1.0,-1.0,0.16904280986636877
4,16,5000,42,256,0.3714582545757294,0.0,128.04199591064454,-1.0,-1.0,-1.0,0.18131287302821875
4,16,5000,123,256,0.37117449259757995,0.0,127.93999426269531,-1.0,-1.0,-1.0,0.2057606829330325
4,16,5000,456,256,0.37439749026298524,0.0,127.85599633789063,-1.0,-1.0,-1.0,0.2830007877200842
