concept,window,window_start,window_end,prompt_id,seed,clap_steered,clap_unsteered
piano,0.0-0.2,0.0,0.2,0,,0.3400334979863075,0.3952165442055589
piano,0.0-0.2,0.0,0.2,1,,0.4524146244831112,0.4699243242194715
piano,0.0-0.2,0.0,0.2,2,,0.20310924464661884,0.14047047539793941
piano,0.0-0.2,0.0,0.2,3,,0.469873632262247,0.4457611662730486
piano,0.0-0.2,0.0,0.2,4,,0.3110816149597863,0.35955476401309494
piano,0.0-0.2,0.0,0.2,5,,-0.04937704603170791,-0.002054871039405456
piano,0.0-0.2,0.0,0.2,6,,0.3532615987810931,0.42681189072231224
piano,0.0-0.2,0.0,0.2,7,,0.4622197380466541,0.46259098782480423
piano,0.0-0.2,0.0,0.2,8,,0.33636711716259,0.31977374947813847
piano,0.0-0.2,0.0,0.2,9,,0.23187950021607134,0.25401559218068454
piano,0.2-0.4,0.2,0.4,0,,0.36530035368876285,0.3952165442055589
piano,0.2-0.4,0.2,0.4,1,,0.4620303442784855,0.4699243242194715
piano,0.2-0.4,0.2,0.4,2,,0.16661573282851286,0.14047047539793941
piano,0.2-0.4,0.2,0.4,3,,0.430477138029213,0.4457611662730486
piano,0.2-0.4,0.2,0.4,4,,0.3702354018759852,0.35955476401309494
piano,0.2-0.4,0.2,0.4,5,,-0.06720525704174214,-0.002054871039405456
piano,0.2-0.4,0.2,0.4,6,,0.42112334671441154,0.42681189072231224
piano,0.2-0.4,0.2,0.4,7,,0.45283472085159665,0.46259098782480423
piano,0.2-0.4,0.2,0.4,8,,0.373257558577829,0.31977374947813847
piano,0.2-0.4,0.2,0.4,9,,0.23980973360397437,0.25401559218068454
piano,0.4-0.6,0.4,0.6,0,,0.3514787133044225,0.3952165442055589
piano,0.4-0.6,0.4,0.6,1,,0.4452261582197813,0.4699243242194715
piano,0.4-0.6,0.4,0.6,2,,0.15150157368682785,0.14047047539793941
piano,0.4-0.6,0.4,0.6,3,,0.4550022437371785,0.4457611662730486
piano,0.4-0.6,0.4,0.6,4,,0.3575002515328771,0.35955476401309494
piano,0.4-0.6,0.4,0.6,5,,-0.030296472472761144,-0.002054871039405456
piano,0.4-0.6,0.4,0.6,6,,0.4536925779328104,0.42681189072231224
piano,0.4-0.6,0.4,0.6,7,,0.4418905000539765,0.46259098782480423
piano,0.4-0.6,0.4,0.6,8,,0.29723314925227773,0.31977374947813847
piano,0.4-0.6,0.4,0.6,9,,0.18901384450891184,0.25401559218068454
piano,0.6-0.8,0.6,0.8,0,,0.37214433774736766,0.3952165442055589
piano,0.6-0.8,0.6,0.8,1,,0.4733475697389517,0.4699243242194715
piano,0.6-0.8,0.6,0.8,2,,0.1956099219794287,0.14047047539793941
piano,0.6-0.8,0.6,0.8,3,,0.45532959244301147,0.4457611662730486
piano,0.6-0.8,0.6,0.8,4,,0.3425849343850485,0.35955476401309494
piano,0.6-0.8,0.6,0.8,5,,-0.04341695300536138,-0.002054871039405456
piano,0.6-0.8,0.6,0.8,6,,0.3394883145410792,0.42681189072231224
piano,0.6-0.8,0.6,0.8,7,,0.47288593015365815,0.46259098782480423
piano,0.6-0.8,0.6,0.8,8,,0.3378149438583255,0.31977374947813847
piano,0.6-0.8,0.6,0.8,9,,0.1946434061136398,0.25401559218068454
piano,0.8-1.0,0.8,1.0,0,,0.3800536284620291,0.3952165442055589
piano,0.8-1.0,0.8,1.0,1,,0.38982715812908747,0.4699243242194715
piano,0.8-1.0,0.8,1.0,2,,0.15008070319302913,0.14047047539793941
piano,0.8-1.0,0.8,1.0,3,,0.4706059647229565,0.4457611662730486
piano,0.8-1.0,0.8,1.0,4,,0.33117997315151815,0.35955476401309494
piano,0.8-1.0,0.8,1.0,5,,-0.023951584233736455,-0.002054871039405456
piano,0.8-1.0,0.8,1.0,6,,0.4228568882890507,0.42681189072231224
piano,0.8-1.0,0.8,1.0,7,,0.43666415969967315,0.46259098782480423
piano,0.8-1.0,0.8,1.0,8,,0.3016635508964274,0.31977374947813847
piano,0.8-1.0,0.8,1.0,9,,0.25881409386266474,0.25401559218068454
tempo,0.0-0.2,0.0,0.2,0,,0.3141563503320998,0.4002883632857275
tempo,0.0-0.2,0.0,0.2,1,,0.45267396712624497,0.4303505973696203
tempo,0.0-0.2,0.0,0.2,2,,0.12017468185349689,0.18613789408857448
tempo,0.0-0.2,0.0,0.2,3,,0.4649836672537736,0.4497581079329915
tempo,0.0-0.2,0.0,0.2,4,,0.38551976891282297,0.3525804842023141
tempo,0.0-0.2,0.0,0.2,5,,-0.012371569748186768,-0.011784460277729968
