concept,alpha,method,clap_alignment,lpaps,ce,pq
tempo,50,fixed,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
tempo,50,self_monitored,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
tempo,75,fixed,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
tempo,75,self_monitored,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
tempo,100,fixed,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
tempo,100,self_monitored,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
mood,50,fixed,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
mood,50,self_monitored,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
mood,75,fixed,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
mood,75,self_monitored,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
mood,100,fixed,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
mood,100,self_monitored,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
vocal_gender,50,fixed,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
vocal_gender,50,self_monitored,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
vocal_gender,75,fixed,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
vocal_gender,75,self_monitored,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
vocal_gender,100,fixed,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
vocal_gender,100,self_monitored,0.645873181125018,0.20791468550554815,0.3245841143617168,0.30991658131711747
